name,gender,nationality,department,position,birthdate,email,phone,address,hire_date,contract_type,employee_id,salary,termination_date
Louis Mccullough,Male,Canadian,Sales,Senior Salesperson,6/22/1966,sward@example.net,0000000000,"444 Emily Rest Suite 481
New Lori, WI 27088",1982-09-24,Freelance,EMP1277,77485.75,1/26/1987
Makayla Gonzales,Female,French,Inventory,Warehouse Assistant,12/30/1974,hartmelanie@example.org,0000000000,"491 Colton Dam Suite 997
East Melanieland, UT 99787",1979-08-26,Temporary,EMP1278,79171.92,11/20/1985
Courtney Adams,Female,Mexican,Cashier,Lead Cashier,7/2/1965,pottsbrittany@example.org,0000000000,"266 Butler Curve
North Michelechester, MO 98543",1957-12-27,Full-time,EMP1279,56042.98,
Caleb Thompson,Male,Canadian,Cashier,Cashier,11/23/1969,bryan19@example.org,0000000000,"808 Moore Road
Dianeshire, CT 08376",1967-02-15,Part-time,EMP1280,73677.92,6/22/1968
Ashley Ross,Female,Mexican,Sales,Senior Salesperson,10/3/1992,fwarren@example.org,0000000000,"9089 Case Greens
North Richard, SD 04297",2004-04-14,Full-time,EMP1281,28525.85,4/7/2013
Luis Young,Male,Canadian,Inventory,Stock Clerk,7/11/2003,robert37@example.org,6312710759,"9215 Elliott Ways Suite 791
Port Joel, WI 22207",2006-01-09,Full-time,EMP1282,66956.82,
Ashley Carey,Female,British,Cashier,Lead Cashier,5/15/1974,lanerobert@example.net,4957573640,,1974-11-29,Full-time,EMP1283,36965.94,4/19/1977
Michael Smith,Male,German,Management,Store Manager,3/12/1960,karen86@example.org,5116247524,"909 White Fords Suite 270
Lake Michaelchester, SD 45399",1969-03-22,Part-time,EMP1284,62463.28,6/1/1974
Hayden Johnson,Male,Mexican,Customer Service,Customer Service Rep,12/5/1978,lreyes@example.org,2452719257,"18173 Kristy Expressway Apt. 524
East Jesse, NV 07471",1982-09-02,Temporary,EMP1285,28641.87,2/13/1989
Richard Sanchez,Male,Canadian,Management,Assistant Manager,12/15/1966,davidvazquez@example.org,0000000000,"85740 Martinez Greens Apt. 705
East Stephanie, NM 93887",1981-05-10,Part-time,EMP1286,49074.64,12/13/1986
Mrs. Michelle Hall,Unknown,Canadian,Sales,Sales Associate,1/18/1981,aguilarlawrence@example.com,7276470553,"256 Willie Track Apt. 410
North Alexandrafort, PW 70353",2005-12-10,Full-time,EMP1287,63774.94,
Robert Peters,Male,German,Management,Assistant Manager,4/24/1976,joshuatorres@example.net,0000000000,"439 Francis Knoll Suite 816
South Chelsealand, WV 74072",1970-02-09,Part-time,EMP1288,49214.47,
Ms. Brittany Jenkins,Unknown,Mexican,Cashier,Lead Cashier,6/15/1963,curryconnie@example.com,3549305843,,1988-05-04,Temporary,EMP1289,62618.59,2/29/1996
Michelle Hamilton,Female,American,Cashier,Cashier,8/9/1967,sthompson@example.com,8196708262,"Unit 8679 Box 2558
DPO AP 54733",1954-10-02,Temporary,EMP1290,38068.66,8/23/1960
Mark Norman,Male,British,Customer Service,Support Agent,3/12/1972,nan,4672818895,"6238 Kane Camp Suite 819
Savannahton, MO 85389",1996-08-18,Temporary,EMP1291,71283.64,
Lori Perez,Female,Indian,Cashier,Lead Cashier,9/10/1969,davidhodges@example.org,0000000000,"41146 Mark Ports Apt. 969
North Benjamin, SC 30620",1976-10-16,Freelance,EMP1292,30698.96,
Dr. Todd Brown,Unknown,French,Inventory,Stock Clerk,11/16/1960,wyatt73@example.org,7057678756,"719 Michelle Drives
Welchport, SD 78583",1947-08-04,Part-time,EMP1293,25150.06,
Matthew Bush,Male,British,Management,Store Manager,11/2/1965,michaelkelley@example.net,6223582568,"Unit 0827 Box 2105
DPO AA 99093",1984-07-21,Part-time,EMP1294,40967.26,
Joel Smith,Male,German,Inventory,Warehouse Assistant,5/22/1987,zacharymartinez@example.org,7267822700,"81148 Kim Village Suite 663
Markmouth, IA 44081",1998-08-06,Part-time,EMP1295,48239.1,8/23/2007
Kristopher Mills,Male,Mexican,Customer Service,Customer Service Rep,10/13/1993,hlin@example.net,0000000000,"28855 Barbara Junctions
Torreston, IL 81224",1999-07-29,Freelance,EMP1296,47962.58,2/20/2001
Tanner Anderson,Male,French,Cashier,Lead Cashier,7/20/1982,nan,3206734297,"5313 Gill Tunnel Apt. 383
New Haroldmouth, NY 26010",1993-02-25,Full-time,EMP1297,77148.25,3/21/1996
Joshua Baker,Male,Indian,Cashier,Cashier,11/20/1969,asantos@example.com,0000000000,"13592 Caitlin Field
Port David, CT 55763",1973-04-01,Part-time,EMP1298,52170.42,10/3/1979
Rebecca Harrison MD,Female,German,Sales,Senior Salesperson,7/10/2000,dennis18@example.org,0000000000,"6632 Nicholas Ports Apt. 003
Williamsburgh, VI 39781",2012-01-27,Part-time,EMP1299,52711.47,
